Scientific name;IUCN Category;Trend;Map Cells
Conus salreiensis;Critically Endangered;Decreasing;1
Conus trochulus;Near Threatened;Unknown;1
Conus roeckeli;Least Concern;Unknown;1
Acropora palmata;Critically Endangered;Stable;1158
