group,species
cetacean,Atlantic spotted dolphin
cetacean,Atlantic white-sided dolphin
cetacean,Andrews' beaked whale
cetacean,Australian snubfin dolphin
cetacean,Baird's beaked whale
cetacean,Baleen whales nei
cetacean,Beaked whales nei
cetacean,Blainville's beaked whale
cetacean,Blue whale
cetacean,Bottlenose dolphin
cetacean,Bowhead whale
cetacean,Bryde's whale
cetacean,Burmeister's porpoise
cetacean,Clymene dolphin
cetacean,Commerson's dolphin
cetacean,Common dolphin
cetacean,Cuvier's beaked whale
cetacean,Dall's porpoise
cetacean,Dolphins nei
cetacean,Dusky dolphin
cetacean,Dwarf sperm whale
cetacean,False killer whale
cetacean,Finless porpoise
cetacean,Fin whale
cetacean,Franciscana
cetacean,Gervais' beaked whale
cetacean,Gray whale
cetacean,Guyana dolphin
cetacean,Harbour porpoise
cetacean,Hector's dolphin
cetacean,Humpback whale
cetacean,Indo-Pac. hump-backed dolphin
cetacean,Indo-Pacif. bottlenose dolphin
cetacean,Irrawaddy dolphin
cetacean,Killer whale
cetacean,Long-beaked common dolphin
cetacean,Long-finned pilot whale
cetacean,Melon-headed whale
cetacean,Minke whale
cetacean,Narwhal
cetacean,Northern bottlenose whale
cetacean,Northern right whale
cetacean,Northern right whale dolphin
cetacean,Pacific white-sided dolphin
cetacean,Pantropical spotted dolphin
cetacean,Peale's dolphin
cetacean,Pilot whales nei
cetacean,Pygmy sperm whale
cetacean,Risso's dolphin
cetacean,Rough-toothed dolphin
cetacean,Sei whale
cetacean,Short-finned pilot whale
cetacean,Southern right whale
cetacean,Sowerby's beaked whale
cetacean,Spectacled porpoise
cetacean,Sperm whale
cetacean,Spinner dolphin
cetacean,Spotted dolphins nei
cetacean,Stejneger's beaked whale
cetacean,Strap-toothed whale
cetacean,Striped dolphin
cetacean,Toothed whales nei
cetacean,Vaquita
cetacean,Walrus
cetacean,White-beaked dolphin
cetacean,White whale
turtle,Green turtle
turtle,Hawksbill turtle
turtle,Loggerhead turtle
turtle,Marine turtles nei
turtle,Eastern Pacific green turtle
cetacean,Indian Ocean humpback dolphin
cetacean,Pygmy right whale
